image,H,W,area
0,256,256,259
0,256,256,112
0,256,256,353
0,256,256,174
0,256,256,198
0,256,256,21
0,256,256,434
0,256,256,267
0,256,256,82
0,256,256,74
0,256,256,356
0,256,256,305
0,256,256,21
0,256,256,309
0,256,256,400
0,256,256,280
0,256,256,310
0,256,256,139
0,256,256,460
0,256,256,38
0,256,256,195
0,256,256,21
0,256,256,104
0,256,256,261
0,256,256,21
0,256,256,253
0,256,256,268
1,256,256,140
1,256,256,82
1,256,256,159
1,256,256,142
1,256,256,152
1,256,256,123
1,256,256,139
1,256,256,111
1,256,256,132
1,256,256,162
1,256,256,35
1,256,256,114
1,256,256,112
1,256,256,58
1,256,256,124
1,256,256,158
1,256,256,153
1,256,256,136
1,256,256,152
1,256,256,134
1,256,256,132
1,256,256,97
1,256,256,141
1,256,256,175
1,256,256,115
1,256,256,143
1,256,256,159
1,256,256,137
1,256,256,102
1,256,256,108
1,256,256,133
1,256,256,276
1,256,256,157
1,256,256,103
1,256,256,106
1,256,256,135
2,256,320,200
2,256,320,237
2,256,320,478
2,256,320,461
2,256,320,188
2,256,320,544
2,256,320,449
2,256,320,562
2,256,320,638
2,256,320,222
2,256,320,82
2,256,320,541
2,256,320,181
2,256,320,495
2,256,320,218
2,256,320,188
2,256,320,658
2,256,320,841
2,256,320,449
2,256,320,261
2,256,320,295
2,256,320,145
2,256,320,807
2,256,320,246
2,256,320,639
2,256,320,693
2,256,320,483
2,256,320,388
2,256,320,568
2,256,320,595
2,256,320,345
2,256,320,463
2,256,320,56
2,256,320,346
2,256,320,426
2,256,320,195
2,256,320,312
2,256,320,1026
2,256,320,400
2,256,320,433
2,256,320,438
2,256,320,643
2,256,320,658
2,256,320,199
2,256,320,272
2,256,320,214
2,256,320,465
2,256,320,366
2,256,320,108
2,256,320,253
2,256,320,72
2,256,320,481
2,256,320,488
2,256,320,515
2,256,320,625
2,256,320,466
2,256,320,541
2,256,320,682
2,256,320,525
2,256,320,351
2,256,320,299
2,256,320,227
2,256,320,345
2,256,320,273
2,256,320,533
2,256,320,219
2,256,320,348
2,256,320,502
2,256,320,1067
2,256,320,446
3,256,320,439
3,256,320,93
3,256,320,42
3,256,320,537
3,256,320,283
3,256,320,226
3,256,320,54
3,256,320,44
3,256,320,149
3,256,320,36
3,256,320,162
3,256,320,429
3,256,320,41
3,256,320,520
3,256,320,71
3,256,320,231
3,256,320,199
3,256,320,194
3,256,320,29
3,256,320,151
3,256,320,368
3,256,320,63
3,256,320,47
3,256,320,168
3,256,320,36
3,256,320,28
3,256,320,24
3,256,320,187
3,256,320,27
3,256,320,53
3,256,320,52
3,256,320,111
3,256,320,170
3,256,320,102
3,256,320,209
3,256,320,271
3,256,320,74
3,256,320,157
3,256,320,24
3,256,320,132
3,256,320,36
3,256,320,353
3,256,320,130
3,256,320,131
3,256,320,118
3,256,320,38
3,256,320,69
3,256,320,47
3,256,320,420
3,256,320,421
3,256,320,36
3,256,320,144
3,256,320,109
3,256,320,223
3,256,320,36
3,256,320,457
3,256,320,143
3,256,320,36
3,256,320,146
3,256,320,22
3,256,320,176
3,256,320,343
3,256,320,31
3,256,320,101
3,256,320,496
3,256,320,57
3,256,320,39
3,256,320,112
3,256,320,71
3,256,320,183
3,256,320,278
3,256,320,112
3,256,320,197
3,256,320,256
3,256,320,160
3,256,320,38
3,256,320,524
3,256,320,120
3,256,320,115
3,256,320,261
3,256,320,752
3,256,320,199
3,256,320,39
3,256,320,420
3,256,320,31
3,256,320,67
4,256,320,777
4,256,320,846
4,256,320,617
4,256,320,662
4,256,320,1563
4,256,320,1078
4,256,320,152
5,256,256,262
5,256,256,112
5,256,256,327
5,256,256,178
5,256,256,204
5,256,256,73
5,256,256,143
5,256,256,297
5,256,256,229
5,256,256,162
5,256,256,21
5,256,256,379
5,256,256,332
5,256,256,57
5,256,256,209
5,256,256,26
6,256,256,246
6,256,256,191
6,256,256,339
6,256,256,475
6,256,256,28
6,256,256,398
6,256,256,203
6,256,256,503
6,256,256,379
6,256,256,375
6,256,256,318
6,256,256,389
6,256,256,177
6,256,256,168
6,256,256,351
6,256,256,656
6,256,256,51
6,256,256,186
6,256,256,237
6,256,256,361
6,256,256,26
6,256,256,91
6,256,256,297
6,256,256,315
6,256,256,237
6,256,256,164
6,256,256,138
6,256,256,35
6,256,256,346
6,256,256,393
6,256,256,186
6,256,256,419
6,256,256,77
6,256,256,132
6,256,256,224
6,256,256,279
6,256,256,180
6,256,256,21
6,256,256,554
6,256,256,21
6,256,256,128
6,256,256,239
6,256,256,191
6,256,256,349
6,256,256,339
6,256,256,89
6,256,256,21
6,256,256,213
6,256,256,155
6,256,256,385
6,256,256,330
6,256,256,353
6,256,256,337
6,256,256,314
6,256,256,377
6,256,256,369
6,256,256,215
6,256,256,212
6,256,256,597
6,256,256,340
6,256,256,205
6,256,256,312
7,360,360,349
7,360,360,1755
7,360,360,2000
7,360,360,2051
7,360,360,2064
7,360,360,1496
7,360,360,102
7,360,360,954
7,360,360,742
7,360,360,831
7,360,360,1103
7,360,360,1552
7,360,360,1414
7,360,360,3009
7,360,360,1782
7,360,360,1711
7,360,360,2238
7,360,360,2275
7,360,360,2217
7,360,360,1444
7,360,360,499
7,360,360,357
7,360,360,35
8,256,256,98
8,256,256,104
8,256,256,61
8,256,256,96
8,256,256,101
8,256,256,84
8,256,256,69
8,256,256,45
8,256,256,52
8,256,256,86
8,256,256,27
8,256,256,98
8,256,256,83
8,256,256,142
8,256,256,63
8,256,256,41
9,360,360,1766
9,360,360,1710
9,360,360,2635
9,360,360,239
9,360,360,2320
9,360,360,1752
9,360,360,1309
9,360,360,1935
9,360,360,1691
9,360,360,59
9,360,360,948
9,360,360,2023
9,360,360,1923
9,360,360,2009
9,360,360,2333
9,360,360,1891
9,360,360,1866
9,360,360,2379
9,360,360,632
9,360,360,2118
9,360,360,546
9,360,360,322
10,360,360,144
10,360,360,1890
10,360,360,3375
10,360,360,3402
10,360,360,188
10,360,360,2030
10,360,360,2142
10,360,360,1841
10,360,360,1935
10,360,360,1785
10,360,360,1175
10,360,360,3863
10,360,360,2040
10,360,360,1685
10,360,360,2730
10,360,360,2058
10,360,360,3284
11,260,347,91
11,260,347,205
11,260,347,158
11,260,347,209
11,260,347,71
11,260,347,152
11,260,347,27
11,260,347,213
11,260,347,197
11,260,347,154
11,260,347,304
11,260,347,235
11,260,347,95
11,260,347,57
11,260,347,257
11,260,347,34
11,260,347,74
11,260,347,241
11,260,347,77
11,260,347,196
11,260,347,108
11,260,347,49
11,260,347,143
11,260,347,121
11,260,347,22
11,260,347,141
11,260,347,81
11,260,347,267
11,260,347,75
11,260,347,68
11,260,347,68
11,260,347,54
11,260,347,140
11,260,347,251
11,260,347,219
11,260,347,219
11,260,347,44
11,260,347,151
11,260,347,112
11,260,347,207
11,260,347,44
11,260,347,273
11,260,347,111
11,260,347,56
11,260,347,215
11,260,347,216
11,260,347,28
11,260,347,191
11,260,347,104
11,260,347,157
11,260,347,267
11,260,347,40
11,260,347,114
11,260,347,149
11,260,347,295
11,260,347,176
11,260,347,134
11,260,347,42
11,260,347,231
11,260,347,76
11,260,347,185
11,260,347,171
11,260,347,99
11,260,347,257
11,260,347,117
11,260,347,38
11,260,347,176
11,260,347,206
11,260,347,34
11,260,347,168
11,260,347,44
11,260,347,159
11,260,347,48
11,260,347,270
11,260,347,259
11,260,347,148
11,260,347,160
11,260,347,249
11,260,347,106
11,260,347,129
11,260,347,259
11,260,347,72
11,260,347,94
11,260,347,147
11,260,347,208
11,260,347,44
11,260,347,21
11,260,347,45
11,260,347,21
11,260,347,218
11,260,347,23
11,260,347,147
11,260,347,266
11,260,347,35
11,260,347,120
11,260,347,237
11,260,347,77
11,260,347,165
11,260,347,22
11,260,347,140
11,260,347,169
11,260,347,36
11,260,347,91
11,260,347,56
11,260,347,107
11,260,347,129
11,260,347,23
11,260,347,128
11,260,347,291
11,260,347,148
11,260,347,27
11,260,347,85
11,260,347,162
11,260,347,176
11,260,347,51
11,260,347,140
11,260,347,88
11,260,347,202
11,260,347,64
11,260,347,41
11,260,347,263
11,260,347,159
11,260,347,131
11,260,347,303
11,260,347,199
12,256,256,129
12,256,256,32
12,256,256,124
12,256,256,140
12,256,256,335
12,256,256,225
12,256,256,131
12,256,256,126
12,256,256,127
12,256,256,122
12,256,256,150
12,256,256,157
12,256,256,104
12,256,256,148
12,256,256,138
12,256,256,108
12,256,256,177
12,256,256,137
12,256,256,142
12,256,256,129
12,256,256,109
12,256,256,207
12,256,256,115
12,256,256,113
12,256,256,47
12,256,256,89
12,256,256,134
12,256,256,133
12,256,256,109
12,256,256,156
12,256,256,222
12,256,256,212
12,256,256,119
12,256,256,41
12,256,256,130
12,256,256,154
12,256,256,135
12,256,256,140
12,256,256,94
